source_labels,relation_1,middle_labels,relation_2,target_labels,support,candidate_rule,possible_use
Disease,CONTRAINDICATION,Drug,DRUG_DRUG,Drug,38053,"If a Disease is a contraindication for a Drug and that Drug has a drug–drug interaction with another Drug, then the Disease may be a candidate for the other Drug.",Drug repurposing and interaction-informed candidate prioritization for treating contraindicated comorbid conditions.
GeneProtein,DISEASE_PROTEIN,Disease,DISEASE_PROTEIN,GeneProtein,20202,"If a GeneProtein is associated with a Disease via DISEASE_PROTEIN and that same Disease is also associated with another GeneProtein via DISEASE_PROTEIN, then the first GeneProtein may be a candidate for the second GeneProtein in the context of that Disease.",Prioritize gene–gene functional links and disease-relevant biomarkers by identifying GeneProteins that co-occur through shared disease associations.
Drug,CANDIDATE_FOR,Disease,INDICATION,Drug,18502,"If a Drug is a candidate for a Disease and that Disease has an indication for another Drug, then the first Drug may be a candidate for the second Drug’s indicated use.",Drug repurposing by transferring indication knowledge through shared disease candidacy relationships.
Drug,CANDIDATE_FOR,Disease,DISEASE_DISEASE,Disease,13574,"If a Drug is a candidate for a Disease and that Disease is related to another Target Disease, then the Drug may be a candidate for the Target Disease.",Drug repurposing and hypothesis generation by propagating candidate indications through disease–disease relationships.
Drug,CANDIDATE_FOR,Disease,EXPOSURE_DISEASE,Entity,9872,"If a Drug is a candidate for a Disease and that Disease is associated with an Entity via exposure, then the Drug may be a candidate for that Entity.",Drug repurposing and target/indication discovery by linking candidate disease relationships to entities implicated through exposure.
GeneProtein,DISEASE_PROTEIN,Disease,CONTRAINDICATION,Drug,5858,"If a GeneProtein is associated with a Disease and that Disease has a contraindication for a Drug, then the GeneProtein may be a candidate biomarker or mechanistic link for why the Drug is contraindicated in that Disease.",Identify gene–disease mechanisms underlying drug contraindications to support safer drug selection and biomarker-driven risk stratification.
Drug,CONTRAINDICATION,Disease,DISEASE_PROTEIN,GeneProtein,5858,"If a Drug is contraindicated for a Disease and that Disease is associated with a GeneProtein, then the Drug may be a candidate for modulating that GeneProtein (e.g., via pathway-level effects) despite the contraindication context.",Drug repurposing and target prioritization by linking contraindicated indications to underlying disease–protein biology.
GeneProtein,DISEASE_PROTEIN,Disease,DISEASE_PHENOTYPE_POSITIVE,Phenotype,5062,"If a GeneProtein is associated with a Disease via DISEASE_PROTEIN and that Disease is associated with a Phenotype via DISEASE_PHENOTYPE_POSITIVE, then the GeneProtein may be a candidate contributor to the Phenotype.",Prioritize gene/protein candidates for phenotypes by leveraging disease–phenotype links in biomedical knowledge graphs.
Phenotype,DISEASE_PHENOTYPE_POSITIVE,Disease,DISEASE_PROTEIN,GeneProtein,5062,"If a Phenotype is associated with a Disease via DISEASE_PHENOTYPE_POSITIVE, and that same Disease is associated with a GeneProtein via DISEASE_PROTEIN, then the Phenotype may indicate that the GeneProtein is involved in the disease mechanism underlying the Phenotype.",Prioritize candidate disease genes/proteins for phenotypes in gene–phenotype association studies and target discovery
GeneProtein,DISEASE_PROTEIN,Disease,HAS_PHENOTYPE_SIGNAL,Phenotype,5062,"If a GeneProtein is associated with a Disease via DISEASE_PROTEIN and that Disease has a phenotype signal via HAS_PHENOTYPE_SIGNAL, then the GeneProtein may be a candidate contributor to the Phenotype.",Prioritize gene–phenotype hypotheses by linking disease-associated proteins to phenotype signals for downstream validation and biomarker discovery.
Disease,INDICATION,Drug,DRUG_DRUG,Drug,4136,"If a Disease is indicated for a Drug and that Drug has a drug–drug interaction with another Drug, then the Disease may be a candidate indication for the other Drug",Drug repurposing and interaction-informed indication discovery
Disease,CONTRAINDICATION,Drug,CONTRAINDICATION,Disease,3960,"If a Disease has a contraindication for a Drug and that same Drug is contraindicated for another Disease, then the first Disease may be a candidate for treatment with the second Disease’s contraindicated Drug (i.e., the Drug may be relevant for comorbidity-aware consideration between the two diseases).",Comorbidity- and contraindication-aware drug repurposing or cross-disease candidate prioritization
Drug,CONTRAINDICATION,Disease,CONTRAINDICATION,Drug,3082,"If a Drug is contraindicated for a Disease and that same Disease is contraindicated for another Drug, then the first Drug may be a candidate for repurposing as the second Drug in patients with that Disease only if contraindication profiles are compatible.",Drug repurposing and contraindication-aware candidate selection by leveraging shared contraindicated diseases to identify potentially related or substitutable therapies.
Drug,DRUG_PROTEIN,GeneProtein,DISEASE_PROTEIN,Disease,2952,"If a Drug is associated with a GeneProtein via DRUG_PROTEIN and that same GeneProtein is associated with a Disease via DISEASE_PROTEIN, then the Drug may be a candidate for treating the Disease",Drug repurposing and target-guided prioritization of candidate therapeutics for specific diseases
Phenotype,DISEASE_PHENOTYPE_POSITIVE,Disease,CONTRAINDICATION,Drug,2800,"If a Phenotype is associated with a Disease via DISEASE_PHENOTYPE_POSITIVE, and that Disease has a CONTRAINDICATION relationship with a Drug, then the Phenotype may be a candidate for avoiding or deprioritizing that Drug.",Safety-focused drug repurposing and contraindication triage based on phenotype–disease links
Drug,CONTRAINDICATION,Disease,DISEASE_PHENOTYPE_POSITIVE,Phenotype,2800,"If a Drug is contraindicated for a Disease and that Disease is associated with a Phenotype as a positive feature, then the Drug may be a candidate for modulating or targeting the Phenotype in the context of that Disease.",Drug repurposing and phenotype-targeted hypothesis generation using contraindication-to-phenotype links
Drug,CONTRAINDICATION,Disease,HAS_PHENOTYPE_SIGNAL,Phenotype,2800,"If a Drug is contraindicated for a Disease and that Disease has a phenotype signal associated with a Phenotype, then the Drug may be a candidate for influencing or being relevant to that Phenotype.",Drug repurposing and phenotype-target prioritization by leveraging contraindication-to-phenotype signal links.
Phenotype,DISEASE_PHENOTYPE_POSITIVE,Disease,DISEASE_PHENOTYPE_POSITIVE,Phenotype,2614,"If a Phenotype is observed as DISEASE_PHENOTYPE_POSITIVE for a Disease, and that same Disease is also DISEASE_PHENOTYPE_POSITIVE for another Phenotype, then the first Phenotype may be a candidate associated Phenotype for the second Phenotype in the context of that Disease.",Phenotype-to-phenotype association discovery to support disease phenotyping and hypothesis generation for comorbid or related symptom patterns.
Phenotype,DISEASE_PHENOTYPE_POSITIVE,Disease,HAS_PHENOTYPE_SIGNAL,Phenotype,2614,"If a Phenotype is observed as a positive disease phenotype for a Disease, and that Disease has a phenotype signal for another Phenotype, then the original Phenotype may be a candidate indicator for the other Phenotype in that Disease context.",Phenotype-to-phenotype association discovery to prioritize comorbid or related phenotypes for clinical phenotyping and hypothesis generation
Drug,CANDIDATE_FOR,Disease,INVOLVES_PATHWAY,Pathway,2468,"If a Drug is a candidate for a Disease and that Disease involves a Pathway, then the Drug may be a candidate for targeting that Pathway.",Pathway-focused drug repurposing and mechanism-of-action prioritization
GeneProtein,DISEASE_PROTEIN,Disease,INDICATION,Drug,1515,"If a GeneProtein is associated with a Disease via DISEASE_PROTEIN and that Disease has an INDICATION for a Drug, then the GeneProtein may be a candidate target for the Drug.",Drug repurposing and target prioritization by linking disease-associated proteins to drugs indicated for the same disease.
Drug,INDICATION,Disease,DISEASE_PROTEIN,GeneProtein,1515,"If a Drug has an INDICATION for a Disease and that Disease is associated with a GeneProtein via DISEASE_PROTEIN, then the Drug may be a candidate for modulating that GeneProtein.",Mechanism-informed drug repurposing by prioritizing gene/protein targets linked to diseases that the drug is already indicated for.
Drug,CANDIDATE_FOR,Disease,SHARES_GENE_WITH,Disease,1234,"If a Drug is a candidate for a Disease and that Disease shares genes with another Disease, then the Drug may be a candidate for the other Disease.",Drug repurposing and prioritization of new indications based on shared genetic mechanisms between diseases.
Disease,DISEASE_DISEASE,Disease,DISEASE_PROTEIN,GeneProtein,1115,"If a Disease is associated with another Disease via DISEASE_DISEASE and that related Disease is associated with a GeneProtein via DISEASE_PROTEIN, then the original Disease may be a candidate for association with that GeneProtein",Prioritize gene–disease hypotheses by transferring molecular evidence across related diseases
GeneProtein,DISEASE_PROTEIN,Disease,DISEASE_DISEASE,Disease,1115,"If a GeneProtein is associated with a Disease via DISEASE_PROTEIN and that Disease is related to another Disease via DISEASE_DISEASE, then the GeneProtein may be a candidate for involvement in the target Disease.","Disease-to-disease knowledge transfer to prioritize gene/protein candidates for related diseases (e.g., for target discovery or hypothesis generation)."
Disease,CONTRAINDICATION,Drug,DRUG_PROTEIN,GeneProtein,909,"If a Disease is contraindicated with a Drug and that Drug targets a GeneProtein, then the Disease may be a candidate for therapeutic modulation of that GeneProtein via the Drug’s mechanism.",Drug repurposing and target prioritization by linking contraindications to gene-protein mechanisms
GeneProtein,DISEASE_PROTEIN,Disease,EXPOSURE_DISEASE,Entity,808,"If a GeneProtein is associated with a Disease via DISEASE_PROTEIN and that Disease is linked to an Entity via EXPOSURE_DISEASE, then the GeneProtein may be a candidate mediator of the Entity’s effect in that Disease context.","Prioritize gene–protein targets for exposure-related disease mechanisms and support hypothesis generation for translational studies (e.g., identifying biomarkers or therapeutic targets tied to specific exposures)."
Entity,EXPOSURE_DISEASE,Disease,DISEASE_PROTEIN,GeneProtein,808,"If an Entity is associated with a Disease via EXPOSURE_DISEASE and that Disease is associated with a GeneProtein via DISEASE_PROTEIN, then the Entity may be a candidate for modulating the GeneProtein.",Prioritize exposure-to-target hypotheses for target identification and drug or intervention repurposing.
Drug,CONTRAINDICATION,Disease,DISEASE_DISEASE,Disease,590,"If a Drug is contraindicated for a Disease and that Disease is related to another Disease, then the Drug may be a candidate for the other Disease.",Drug repurposing and hypothesis generation by leveraging contraindication links and disease–disease relationships to prioritize candidate indications.
Disease,DISEASE_DISEASE,Disease,CONTRAINDICATION,Drug,562,"If a Disease is related to another Disease via DISEASE_DISEASE and that related Disease has a CONTRAINDICATION with a Drug, then the original Disease may be a candidate for avoiding or deprioritizing that Drug due to shared contraindication risk.",Safety-focused drug repurposing and contraindication inference across related diseases
Disease,DISEASE_DISEASE,Disease,DISEASE_PHENOTYPE_POSITIVE,Phenotype,533,"If a Disease is related to another Disease via DISEASE_DISEASE and that related Disease has a positive association with a Phenotype via DISEASE_PHENOTYPE_POSITIVE, then the original Disease may be a candidate for that Phenotype.","Phenotype prediction and hypothesis generation for disease characterization (e.g., identifying likely clinical features or comorbid phenotype patterns)."
Phenotype,DISEASE_PHENOTYPE_POSITIVE,Disease,DISEASE_DISEASE,Disease,533,"If a Phenotype is associated with a Disease via DISEASE_PHENOTYPE_POSITIVE, and that Disease is related to another Disease via DISEASE_DISEASE, then the Phenotype may be a candidate phenotype for the related Disease.",Phenotype-to-disease inference to prioritize candidate disease phenotypes and support disease similarity–based diagnosis or research.
Disease,DISEASE_DISEASE,Disease,HAS_PHENOTYPE_SIGNAL,Phenotype,533,"If a Disease is related to another Disease via DISEASE_DISEASE and that related Disease has a HAS_PHENOTYPE_SIGNAL phenotype, then the original Disease may be a candidate for that phenotype.",Phenotype inference and prioritization of candidate disease–phenotype associations for downstream diagnosis support and biomedical knowledge discovery.
Drug,CONTRAINDICATION,Disease,INDICATION,Drug,462,"If a Drug is contraindicated for a Disease and that same Disease is an indication for another Drug, then the first Drug may be a candidate for repurposing as a treatment option for the second Drug’s indicated condition, with careful clinical evaluation due to the contraindication risk.",Drug repurposing and hypothesis generation by leveraging shared disease links while flagging contraindication-related safety considerations.
Drug,INDICATION,Disease,CONTRAINDICATION,Drug,462,"If a Drug is indicated for a Disease and that Disease is a contraindication for the same Drug, then the Drug may be a candidate for reconsideration or repurposing in relation to the Disease under careful clinical evaluation.",Drug repurposing and safety-aware candidate selection by flagging indication–contraindication conflicts for targeted clinical review
GeneProtein,PATHWAY_PROTEIN,Pathway,PATHWAY_PROTEIN,GeneProtein,462,"If a GeneProtein is a PATHWAY_PROTEIN of a Pathway and that same Pathway is also a PATHWAY_PROTEIN of another GeneProtein, then the first GeneProtein may be a functional partner or mechanistic contributor to the second GeneProtein within that shared pathway.","Prioritize gene–gene functional links by identifying proteins that co-participate in the same biological pathway (e.g., for target discovery or interpreting disease-associated genes)."
Drug,CONTRAINDICATION,Disease,EXPOSURE_DISEASE,Entity,448,"If a Drug is contraindicated for a Disease and that Disease is associated with an Entity via exposure, then the Drug may be a candidate for preventing or mitigating exposure-related effects associated with the Entity.",Drug repurposing and risk-mitigation candidate discovery for exposure-associated conditions
Entity,EXPOSURE_DISEASE,Disease,CONTRAINDICATION,Drug,448,"If [Source] EXPOSURE_DISEASE [Middle] and [Middle] CONTRAINDICATION [Target], then [Source] may be a candidate for [Target] with caution due to the contraindication associated with the exposed disease.",Safety-aware drug repurposing and contraindication screening for patients exposed to specific diseases
Phenotype,DISEASE_PHENOTYPE_POSITIVE,Disease,INDICATION,Drug,400,"If a Phenotype is associated with a Disease via DISEASE_PHENOTYPE_POSITIVE, and that Disease is an INDICATION for a Drug, then the Phenotype may be a candidate for that Drug",Phenotype-driven drug repurposing by linking disease-associated symptoms to drugs approved for the underlying indications
Phenotype,DISEASE_PHENOTYPE_POSITIVE,Disease,EXPOSURE_DISEASE,Entity,400,"If a Phenotype is associated with a Disease via DISEASE_PHENOTYPE_POSITIVE, and that Disease is linked to an Entity via EXPOSURE_DISEASE, then the Phenotype may be a candidate indicator for the Entity.",Identify potential exposure–phenotype links to support risk stratification and hypothesis generation for environmental or occupational exposure studies.
Drug,INDICATION,Disease,DISEASE_PHENOTYPE_POSITIVE,Phenotype,400,"If a Drug has an INDICATION for a Disease and that Disease is associated with a DISEASE_PHENOTYPE_POSITIVE Phenotype, then the Drug may be a candidate for the Phenotype.",Drug repurposing and phenotype-targeted candidate prioritization based on disease–phenotype associations.
Entity,EXPOSURE_DISEASE,Disease,DISEASE_PHENOTYPE_POSITIVE,Phenotype,400,"If an Entity has an EXPOSURE_DISEASE association with a Disease and that Disease has a DISEASE_PHENOTYPE_POSITIVE association with a Phenotype, then the Entity may be a candidate for the Phenotype.","Phenotype prediction and hypothesis generation for exposures (e.g., identifying potential health outcomes linked to specific exposures)"
Drug,INDICATION,Disease,HAS_PHENOTYPE_SIGNAL,Phenotype,400,"If a Drug has an INDICATION for a Disease and that Disease has a HAS_PHENOTYPE_SIGNAL for a Phenotype, then the Drug may be a candidate for the Phenotype.",Drug repurposing and phenotype-target prioritization by transferring phenotype signals from indicated diseases to candidate drugs.
Entity,EXPOSURE_DISEASE,Disease,HAS_PHENOTYPE_SIGNAL,Phenotype,400,"If an Entity is associated with a Disease via EXPOSURE_DISEASE, and that Disease has a phenotype signal via HAS_PHENOTYPE_SIGNAL, then the Entity may be a candidate for the Phenotype.","Phenotype prediction and hypothesis generation for exposure–disease–phenotype links (e.g., prioritizing exposures for further study or repurposing/targeting strategies)."
Disease,CONTRAINDICATION,Drug,INDICATION,Disease,255,"If a Disease has a CONTRAINDICATION with a Drug, and that same Drug has an INDICATION for another Disease, then the first Disease may be a candidate for treatment with that other Disease’s indicated use of the Drug (with clinical caution due to the contraindication).",Drug repurposing and risk-aware candidate generation for cross-disease treatment hypotheses
Disease,DISEASE_PROTEIN,GeneProtein,DISEASE_PROTEIN,Disease,206,"If a Disease is associated with a GeneProtein via DISEASE_PROTEIN and that same GeneProtein is also associated with another Disease via DISEASE_PROTEIN, then the first Disease may be a candidate for the second Disease (i.e., they may share underlying molecular mechanisms through the GeneProtein).",Identify mechanistically related diseases for hypothesis generation and disease similarity-based drug repurposing.
GeneProtein,DISEASE_PROTEIN,Disease,INVOLVES_PATHWAY,Pathway,202,"If a GeneProtein is associated with a Disease via DISEASE_PROTEIN and that Disease is involved in a Pathway via INVOLVES_PATHWAY, then the GeneProtein may be a candidate for involvement in that Pathway.",Pathway prioritization for target discovery and mechanistic hypothesis generation
Disease,INDICATION,Drug,CONTRAINDICATION,Disease,130,"If a Disease is an INDICATION for a Drug and that same Drug is a CONTRAINDICATION for the Disease, then the Drug may be a candidate for the Disease (e.g., for careful reassessment of eligibility and risk–benefit).",Drug repurposing and safety re-evaluation by identifying indication–contraindication conflicts that warrant clinical review
GeneProtein,DISEASE_PROTEIN,Disease,SHARES_GENE_WITH,Disease,101,"If a GeneProtein is associated with a Disease and that Disease shares a gene with another Disease, then the GeneProtein may be a candidate for the other Disease.",Prioritize gene–disease candidates for disease-gene association discovery and hypothesis generation across related diseases.
Disease,SHARES_GENE_WITH,Disease,DISEASE_PROTEIN,GeneProtein,101,"If a Disease shares a gene with another Disease and that other Disease is associated with a GeneProtein, then the original Disease may be a candidate for that GeneProtein.",Prioritize gene/protein targets for disease mechanism discovery and support gene/protein-based drug target selection or repurposing hypotheses.
Drug,INDICATION,Disease,INDICATION,Drug,98,"If a Drug indicates a Disease and that same Disease is also indicated by another Drug, then the first Drug may be a candidate for repurposing toward the second Drug’s indication profile.",Drug repurposing by leveraging shared disease indications to suggest candidate drug–drug relationships for further validation.
Disease,DISEASE_DISEASE,Disease,DISEASE_DISEASE,Disease,92,"If a Disease is related to another Disease via DISEASE_DISEASE and that middle Disease is also related to a target Disease via DISEASE_DISEASE, then the source Disease may be a candidate for the target Disease.","Disease–disease association discovery to support hypothesis generation and disease similarity-based prioritization (e.g., for comorbidity or shared mechanism studies)."
Drug,INDICATION,Disease,DISEASE_DISEASE,Disease,90,"If a Drug has an INDICATION for a Disease and that Disease is related to another Target Disease via DISEASE_DISEASE, then the Drug may be a candidate for the Target Disease.",Drug repurposing by leveraging disease–disease relationships to suggest new indications for existing drugs.
Disease,DISEASE_DISEASE,Disease,INDICATION,Drug,87,"If a Disease is related to another Disease via DISEASE_DISEASE and that related Disease has an INDICATION for a Drug, then the original Disease may be a candidate indication for that Drug",Drug repurposing by transferring therapeutic indications across biologically related diseases
Disease,DISEASE_DISEASE,Disease,EXPOSURE_DISEASE,Entity,80,"If a Disease is related to another Disease via DISEASE_DISEASE and that related Disease is associated with an Exposure via EXPOSURE_DISEASE, then the original Disease may be a candidate for association with that Exposure.",Exposure–disease association discovery and hypothesis generation for environmental or lifestyle risk factors
Entity,EXPOSURE_DISEASE,Disease,DISEASE_DISEASE,Disease,80,"If an Entity is associated with a Disease via EXPOSURE_DISEASE and that Disease is linked to another Disease via DISEASE_DISEASE, then the Entity may be a candidate for the Target Disease.","Prioritize exposures (e.g., environmental factors, treatments, or exposures) for investigation or repurposing based on disease-to-disease relationships."
Disease,INDICATION,Drug,DRUG_PROTEIN,GeneProtein,76,"If a Disease is indicated by a Drug and that Drug targets a GeneProtein, then the Disease may be a candidate for therapeutic intervention through that GeneProtein.",Mechanism-informed drug repurposing and target prioritization for diseases based on known drug indications and drug–protein interactions.
Entity,EXPOSURE_DISEASE,Disease,INDICATION,Drug,64,"If an Entity is associated with a Disease via EXPOSURE_DISEASE and that Disease is an indication for a Drug via INDICATION, then the Entity may be a candidate for that Drug.",Drug repurposing and exposure-to-therapy prioritization by linking disease exposure evidence to drugs approved or indicated for the same disease.
Drug,INDICATION,Disease,EXPOSURE_DISEASE,Entity,64,"If a Drug has an INDICATION for a Disease and that Disease is associated with an EXPOSURE_DISEASE relationship to an Entity, then the Drug may be a candidate for the Entity.",Drug repurposing and hypothesis generation by linking drug indications to downstream entities associated with the same disease exposure context.
Drug,DRUG_PROTEIN,GeneProtein,PATHWAY_PROTEIN,Pathway,60,"If a Drug is associated with a GeneProtein via DRUG_PROTEIN and that GeneProtein is involved in a Pathway via PATHWAY_PROTEIN, then the Drug may be a candidate for the Pathway",Pathway-focused drug repurposing and target-to-pathway inference to prioritize drugs for pathway modulation
Drug,CONTRAINDICATION,Disease,INVOLVES_PATHWAY,Pathway,58,"If a Drug is contraindicated for a Disease and that Disease involves a Pathway, then the Drug may be a candidate for modulating that Pathway.",Pathway-focused drug repurposing and target discovery using contraindication-to-pathway links
Disease,INDICATION,Drug,INDICATION,Disease,58,"If a Disease is an indication for a Drug and that same Drug is also indicated for another Disease, then the first Disease may be a candidate for the second Disease (via shared drug indication evidence).",Drug repurposing and hypothesis generation by leveraging shared indication patterns across diseases.
Entity,EXPOSURE_DISEASE,Disease,EXPOSURE_DISEASE,Entity,56,"If an Entity is associated with a Disease via EXPOSURE_DISEASE and that same Disease is also associated with another Entity via EXPOSURE_DISEASE, then the first Entity may be a candidate for the second Entity (e.g., sharing exposure-related disease links).",Identify potential exposure-based associations between entities for hypothesis generation and prioritizing candidates in biomedical knowledge graph mining.
Drug,CONTRAINDICATION,Disease,SHARES_GENE_WITH,Disease,56,"If a Drug is contraindicated for a Disease1 and Disease1 shares genes with Disease2, then the Drug may be a candidate for Disease2.",Gene-informed drug repurposing by transferring contraindication signals across genetically related diseases.
Disease,CONTRAINDICATION,Drug,OFF_LABEL_USE,Disease,54,"If a Disease has a CONTRAINDICATION with a Drug, and that same Drug is used OFF_LABEL_USE for another Disease, then the first Disease may be a candidate for treatment with that Drug under careful clinical consideration and contraindication management.",Drug repurposing and risk-aware off-label candidate identification based on contraindication and off-label usage links.
Phenotype,DISEASE_PHENOTYPE_POSITIVE,Disease,INVOLVES_PATHWAY,Pathway,50,"If a Phenotype is associated with a Disease via DISEASE_PHENOTYPE_POSITIVE, and that Disease involves a Pathway via INVOLVES_PATHWAY, then the Phenotype may be a candidate indicator for involvement of that Pathway.",Pathway prioritization for phenotype-driven disease mechanism discovery and hypothesis generation.
Phenotype,DISEASE_PHENOTYPE_POSITIVE,Disease,SHARES_GENE_WITH,Disease,50,"If a Phenotype is observed as positive for a Disease and that Disease shares a gene with another Disease, then the Phenotype may be a candidate phenotype for the other Disease as well.",Phenotype-to-disease transfer for prioritizing candidate disease associations and supporting gene-informed disease phenotyping.
Disease,INVOLVES_PATHWAY,Pathway,PATHWAY_PROTEIN,GeneProtein,44,"If a Disease INVOLVES_PATHWAY a Pathway and that Pathway PATHWAY_PROTEIN a GeneProtein, then the Disease may be a candidate for the GeneProtein.",Prioritize disease–gene/protein associations by leveraging pathway-mediated mechanisms for target identification and drug repurposing.
Disease,CONTRAINDICATION,Drug,CANDIDATE_FOR,Disease,36,"If a Disease has a CONTRAINDICATION with a Drug, and that Drug is a CANDIDATE_FOR another Disease, then the first Disease may be a candidate for the second Disease.",Drug repurposing and safety-informed disease–disease candidate discovery based on shared contraindication and candidate-for relationships.
GeneProtein,PATHWAY_PROTEIN,Pathway,PATHWAY_PATHWAY,Pathway,22,"If a GeneProtein is associated with a Pathway via PATHWAY_PROTEIN and that Pathway is connected to another Pathway via PATHWAY_PATHWAY, then the GeneProtein may be a candidate contributor to the target Pathway.",Prioritize gene–pathway links for pathway crosstalk analysis and hypothesis generation in disease mechanism studies
Pathway,PATHWAY_PATHWAY,Pathway,PATHWAY_PROTEIN,GeneProtein,22,"If a Pathway is connected to another Pathway via PATHWAY_PATHWAY and that intermediate Pathway is associated with a GeneProtein via PATHWAY_PROTEIN, then the source Pathway may be a candidate regulator or functional context for that GeneProtein.",Prioritize gene–pathway links by propagating protein associations through pathway–pathway relationships to support target identification and hypothesis generation.
Disease,DISEASE_PHENOTYPE_POSITIVE,Phenotype,DISEASE_PHENOTYPE_POSITIVE,Disease,20,"If a Disease has a positive association with a Phenotype and that same Phenotype is positively associated with another Disease, then the first Disease may be a candidate for the second Disease (via shared phenotype similarity).",Identify related diseases and generate hypotheses for disease–disease links based on shared positive phenotypic features.
Disease,HAS_PHENOTYPE_SIGNAL,Phenotype,DISEASE_PHENOTYPE_POSITIVE,Disease,20,"If a Disease has a phenotype signal and that phenotype is positively associated with another Disease, then the first Disease may be a candidate for the second Disease (e.g., sharing related disease mechanisms or comorbidity patterns).",Disease–disease association discovery to support comorbidity prediction and hypothesis generation for shared pathophysiology.
Drug,INDICATION,Disease,INVOLVES_PATHWAY,Pathway,15,"If a Drug has an INDICATION for a Disease and that Disease INVOLVES_PATHWAY a Pathway, then the Drug may be a candidate for modulating that Pathway.",Pathway-informed drug repurposing and target/pathway prioritization based on shared disease mechanisms.
Disease,DISEASE_DISEASE,Disease,INVOLVES_PATHWAY,Pathway,11,"If a Disease is related to another Disease via DISEASE_DISEASE and that related Disease INVOLVES a Pathway, then the original Disease may be a candidate for involvement in that Pathway.",Pathway prioritization for disease mechanism discovery and hypothesis generation
Disease,DISEASE_DISEASE,Disease,SHARES_GENE_WITH,Disease,9,"If a Disease is DISEASE_DISEASE-related to another Disease and that middle Disease SHARES_GENE_WITH the target Disease, then the source Disease may be a candidate for the target Disease.","Prioritize disease–disease links for hypothesis generation and gene-informed disease association discovery (e.g., for comorbidity or shared etiology studies)."
Entity,EXPOSURE_DISEASE,Disease,INVOLVES_PATHWAY,Pathway,8,"If an Entity is associated with a Disease via EXPOSURE_DISEASE and that Disease is known to involve a Pathway via INVOLVES_PATHWAY, then the Entity may be a candidate for influencing or modulating the Pathway.","Mechanism-informed prioritization of exposures (e.g., environmental factors or treatments) for pathway-targeted research and hypothesis generation"
Drug,INDICATION,Disease,SHARES_GENE_WITH,Disease,8,"If a Drug has an INDICATION for a Disease1 and Disease1 shares a gene with Disease2, then the Drug may be a candidate for treating Disease2.",Gene-informed drug repurposing by transferring indication signals across genetically related diseases.
